datetime_utc_start,datetime_utc_end,datetime_nem_start,datetime_nem_end,REGION,rrp_aud_per_mwh,total_demand_mw,SETTLEMENTDATE,PERIODTYPE
2010-07-03 03:30:00+00:00,2010-07-03 04:00:00+00:00,2010-07-03 13:30:00+10:00,2010-07-03 14:00:00+10:00,NSW1,28.89,9268.41,2010-07-03 14:00:00,TRADE
2010-07-03 04:00:00+00:00,2010-07-03 04:30:00+00:00,2010-07-03 14:00:00+10:00,2010-07-03 14:30:00+10:00,NSW1,25.61,9126.96,2010-07-03 14:30:00,TRADE
2010-07-03 04:30:00+00:00,2010-07-03 05:00:00+00:00,2010-07-03 14:30:00+10:00,2010-07-03 15:00:00+10:00,NSW1,25.19,9127.57,2010-07-03 15:00:00,TRADE
2010-07-03 05:00:00+00:00,2010-07-03 05:30:00+00:00,2010-07-03 15:00:00+10:00,2010-07-03 15:30:00+10:00,NSW1,25.5,9122.97,2010-07-03 15:30:00,TRADE
2010-07-03 05:30:00+00:00,2010-07-03 06:00:00+00:00,2010-07-03 15:30:00+10:00,2010-07-03 16:00:00+10:00,NSW1,25.5,9244.56,2010-07-03 16:00:00,TRADE
2010-07-03 06:00:00+00:00,2010-07-03 06:30:00+00:00,2010-07-03 16:00:00+10:00,2010-07-03 16:30:00+10:00,NSW1,27.35,9596.84,2010-07-03 16:30:00,TRADE
2010-07-03 06:30:00+00:00,2010-07-03 07:00:00+00:00,2010-07-03 16:30:00+10:00,2010-07-03 17:00:00+10:00,NSW1,26.65,10176.71,2010-07-03 17:00:00,TRADE
2010-07-03 07:00:00+00:00,2010-07-03 07:30:00+00:00,2010-07-03 17:00:00+10:00,2010-07-03 17:30:00+10:00,NSW1,30.26,10979.74,2010-07-03 17:30:00,TRADE
2010-07-03 07:30:00+00:00,2010-07-03 08:00:00+00:00,2010-07-03 17:30:00+10:00,2010-07-03 18:00:00+10:00,NSW1,43.53,11629.84,2010-07-03 18:00:00,TRADE
2010-07-03 08:00:00+00:00,2010-07-03 08:30:00+00:00,2010-07-03 18:00:00+10:00,2010-07-03 18:30:00+10:00,NSW1,47.27,11682.35,2010-07-03 18:30:00,TRADE
2010-07-03 08:30:00+00:00,2010-07-03 09:00:00+00:00,2010-07-03 18:30:00+10:00,2010-07-03 19:00:00+10:00,NSW1,38.51,11512.71,2010-07-03 19:00:00,TRADE
2010-07-03 09:00:00+00:00,2010-07-03 09:30:00+00:00,2010-07-03 19:00:00+10:00,2010-07-03 19:30:00+10:00,NSW1,30.63,11280.22,2010-07-03 19:30:00,TRADE
2010-07-03 09:30:00+00:00,2010-07-03 10:00:00+00:00,2010-07-03 19:30:00+10:00,2010-07-03 20:00:00+10:00,NSW1,30.71,11035.16,2010-07-03 20:00:00,TRADE
2010-07-03 10:00:00+00:00,2010-07-03 10:30:00+00:00,2010-07-03 20:00:00+10:00,2010-07-03 20:30:00+10:00,NSW1,30.66,10890.49,2010-07-03 20:30:00,TRADE
2010-07-03 10:30:00+00:00,2010-07-03 11:00:00+00:00,2010-07-03 20:30:00+10:00,2010-07-03 21:00:00+10:00,NSW1,28.47,10751.19,2010-07-03 21:00:00,TRADE
2010-07-03 11:00:00+00:00,2010-07-03 11:30:00+00:00,2010-07-03 21:00:00+10:00,2010-07-03 21:30:00+10:00,NSW1,27.27,10536.44,2010-07-03 21:30:00,TRADE
2010-07-03 11:30:00+00:00,2010-07-03 12:00:00+00:00,2010-07-03 21:30:00+10:00,2010-07-03 22:00:00+10:00,NSW1,26.57,10301.79,2010-07-03 22:00:00,TRADE
2010-07-03 12:00:00+00:00,2010-07-03 12:30:00+00:00,2010-07-03 22:00:00+10:00,2010-07-03 22:30:00+10:00,NSW1,32.24,10252.46,2010-07-03 22:30:00,TRADE
2010-07-03 12:30:00+00:00,2010-07-03 13:00:00+00:00,2010-07-03 22:30:00+10:00,2010-07-03 23:00:00+10:00,NSW1,32.18,10059.65,2010-07-03 23:00:00,TRADE
2010-07-03 13:00:00+00:00,2010-07-03 13:30:00+00:00,2010-07-03 23:00:00+10:00,2010-07-03 23:30:00+10:00,NSW1,31.65,9810.06,2010-07-03 23:30:00,TRADE
2010-07-03 13:30:00+00:00,2010-07-03 14:00:00+00:00,2010-07-03 23:30:00+10:00,2010-07-04 00:00:00+10:00,NSW1,36.95,9560.92,2010-07-04 00:00:00,TRADE
2010-07-03 14:00:00+00:00,2010-07-03 14:30:00+00:00,2010-07-04 00:00:00+10:00,2010-07-04 00:30:00+10:00,NSW1,33.68,9208.79,2010-07-04 00:30:00,TRADE
2010-07-03 14:30:00+00:00,2010-07-03 15:00:00+00:00,2010-07-04 00:30:00+10:00,2010-07-04 01:00:00+10:00,NSW1,30.28,8947.49,2010-07-04 01:00:00,TRADE
2010-07-03 15:00:00+00:00,2010-07-03 15:30:00+00:00,2010-07-04 01:00:00+10:00,2010-07-04 01:30:00+10:00,NSW1,29.37,8682.96,2010-07-04 01:30:00,TRADE
2010-07-03 15:30:00+00:00,2010-07-03 16:00:00+00:00,2010-07-04 01:30:00+10:00,2010-07-04 02:00:00+10:00,NSW1,27.8,8463.12,2010-07-04 02:00:00,TRADE
2010-07-03 16:00:00+00:00,2010-07-03 16:30:00+00:00,2010-07-04 02:00:00+10:00,2010-07-04 02:30:00+10:00,NSW1,25.43,7940.8,2010-07-04 02:30:00,TRADE
2010-07-03 16:30:00+00:00,2010-07-03 17:00:00+00:00,2010-07-04 02:30:00+10:00,2010-07-04 03:00:00+10:00,NSW1,24.98,7634.49,2010-07-04 03:00:00,TRADE
2010-07-03 17:00:00+00:00,2010-07-03 17:30:00+00:00,2010-07-04 03:00:00+10:00,2010-07-04 03:30:00+10:00,NSW1,24.58,7437.43,2010-07-04 03:30:00,TRADE
