round,client_id,client_name,tau,head_prefixes,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
2,4,client_4,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.3070728634506834e-06,,3.214880806012843e-09,,0.0,0.0001588795566931367,,,0.0,,,,0.0011673967819660902,0.0,0.9999999991433932,2.9897437343606725e-05,0.0
2,5,client_5,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,6.954469497955738e-06,,4.638581185822943e-13,,0.0,0.0002544283343013376,,,0.0,,,,0.002454927656799555,0.0,0.9999999995926561,6.33272502454929e-05,0.0
2,6,client_6,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,2.6680343922593466e-06,,4.004712117477993e-09,,0.0,6.553175626322627e-05,,,0.0,,,,0.0009418160771019757,0.0,0.9999999989382216,2.3274185878108256e-05,0.0
2,7,client_7,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,4.610324778107117e-06,,4.284356425188207e-09,,0.0,0.0001982130779651925,,,0.0,,,,0.0016274446388706565,0.0,0.9999999993855397,4.125861232751049e-05,0.0
2,8,client_8,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,4.922753546083645e-06,,2.0407538506295175e-12,,0.0,0.00020652296370826662,,,0.0,,,,0.0017377319745719433,0.0,0.9999999994245372,4.4822325435234234e-05,0.0
2,9,client_9,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,9.5787953374362e-06,,2.8287625714051856e-11,,0.0,0.00032339233439415693,,,0.0,,,,0.0033813146874308586,0.0,0.999999999704257,8.88981157913804e-05,0.0
3,1,client_1,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.2881124180618115e-06,,8.620953106388499e-17,,0.0,0.00019232222985010594,,,0.0,,,,0.0004547037242446095,0.0,0.9999999978007658,1.2389648873067927e-05,0.0
3,2,client_2,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,5.434251702089506e-07,,5.399693821413198e-13,,0.0,0.00011082812125096098,,,0.0,,,,0.00019182907999493182,0.0,0.9999999947870261,5.098802830616478e-06,0.0
3,3,client_3,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,8.753403092015914e-07,,1.733986509933061e-09,,0.0,2.3060798412188888e-05,,,0.0,,,,0.0003089951351284981,0.0,0.9999999967637031,7.761394044791814e-06,0.0
3,4,client_4,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,7.169436601300724e-07,,7.239724930663272e-10,,0.0,3.446408300078474e-05,,,0.0,,,,0.0002530811179894954,0.0,0.9999999960486977,6.517743713629898e-06,0.0
3,5,client_5,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,7.700358665303171e-07,,2.186615688862248e-12,,0.0,8.037989755393937e-05,,,0.0,,,,0.00027182267513126135,0.0,0.9999999963211311,7.282537353603402e-06,0.0
3,6,client_6,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,6.016817718564057e-07,,6.540347690514592e-13,,0.0,1.4199491488398053e-05,,,0.0,,,,0.00021239368652459234,0.0,0.9999999952917622,5.342473741620779e-06,0.0
3,7,client_7,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,2.616786144125877e-07,,7.30517371854561e-13,,0.0,9.805849913391285e-06,,,0.0,,,,9.237255289917812e-05,0.0,0.9999999891742736,2.3368236270471243e-06,0.0
3,8,client_8,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,8.344588064157074e-07,,1.262371690470207e-13,,0.0,3.4238903026562184e-05,,,0.0,,,,0.00029456394258886576,0.0,0.9999999966051514,7.542933417425957e-06,0.0
3,9,client_9,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,4.999090997394828e-07,,1.5833290082679918e-13,,0.0,3.055978595511988e-05,,,0.0,,,,0.00017646791820880026,0.0,0.9999999943332476,4.622594587999629e-06,0.0
4,1,client_1,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,7.224684840478109e-07,,2.277246316864656e-12,,0.0,0.00012554260320030153,,,0.0,,,,0.00025503133656457067,0.0,0.9999999960789132,6.992208000156097e-06,0.0
4,2,client_2,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.911656083493518e-07,,3.7690062748866304e-18,,0.0,1.8087854186887853e-05,,,0.0,,,,0.00013808146468363702,0.0,0.9999999927578984,3.5923080758948345e-06,0.0
4,3,client_3,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.374049798474111e-07,,2.592563663750269e-10,,0.0,1.0538706192164682e-05,,,0.0,,,,0.00011910396278835833,0.0,0.9999999916039738,3.0175679057720117e-06,0.0
4,4,client_4,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,4.773780009566468e-07,,1.0494203422917181e-10,,0.0,3.234959513065405e-05,,,0.0,,,,0.0001685144379734993,0.0,0.9999999940657904,4.438306859810837e-06,0.0
4,5,client_5,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,6.135889116153173e-07,,1.4286503566534464e-13,,0.0,8.253322448581457e-05,,,0.0,,,,0.00021659689082298428,0.0,0.9999999953831286,5.8490845731284935e-06,0.0
4,6,client_6,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,2.1831993640487488e-07,,6.049660187033943e-16,,0.0,1.104075363400625e-05,,,0.0,,,,7.706693577347323e-05,0.0,0.999999987024267,1.9812205209746026e-06,0.0
4,7,client_7,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,2.3638090903124248e-07,,7.554008383170354e-15,,0.0,1.5846031601540744e-05,,,0.0,,,,8.344245725311339e-05,0.0,0.9999999880156935,2.190995701312204e-06,0.0
4,8,client_8,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.3006531143721403e-07,,1.3856200048188048e-17,,0.0,2.209899503213819e-05,,,0.0,,,,0.00011651305248960853,0.0,0.9999999914172707,3.0801570574112702e-06,0.0
4,9,client_9,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,3.906645117333964e-07,,0.0,,0.0,3.6597186408471316e-05,,,0.0,,,,0.000137904571602121,0.0,0.9999999927486088,3.7662841805286007e-06,0.0
